Fitness,Relative Center Density,2L2T - Persistance
0.6,1,0
0.6,1.25,0
0.6,1.5,0
0.6,1.75,0
0.6,2,0
0.6,2.25,0
0.6,2.5,0
0.6,2.75,1.95E-05
0.6,3,0.000477266
0.6,3.25,0.274851595
0.6,3.5,0.727772
0.6,3.75,0.7657792
0.6,4,0.7801588
0.6,4.25,0.7902999
0.6,4.5,0.7973003
0.6,4.75,0.7997617
0.6,5,0.8060658
0.6,5.25,0.808876
0.6,5.5,0.8105367
0.6,5.75,0.8141092
0.6,6,0.8151886
0.62,1,0
0.62,1.25,0
0.62,1.5,0
0.62,1.75,0
0.62,2,0
0.62,2.25,2.37E-05
0.62,2.5,3.29E-05
0.62,2.75,0.002542408
0.62,3,0.41622
0.62,3.25,0.7335571
0.62,3.5,0.7740821
0.62,3.75,0.784454
0.62,4,0.7942658
0.62,4.25,0.8008078
0.62,4.5,0.807084
0.62,4.75,0.8130952
0.62,5,0.8121842
0.62,5.25,0.8142206
0.62,5.5,0.8193161
0.62,5.75,0.8200728
0.62,6,0.8220883
0.64,1,0
0.64,1.25,0
0.64,1.5,0
0.64,1.75,0
0.64,2,0
0.64,2.25,0
0.64,2.5,0.010358122
0.64,2.75,0.5020217
0.64,3,0.758497
0.64,3.25,0.7785173
0.64,3.5,0.7898246
0.64,3.75,0.7974041
0.64,4,0.8037754
0.64,4.25,0.8092257
0.64,4.5,0.8141283
0.64,4.75,0.8196859
0.64,5,0.8238057
0.64,5.25,0.8225027
0.64,5.5,0.8294394
0.64,5.75,0.8309092
0.64,6,0.8324132
0.66,1,0
0.66,1.25,0
0.66,1.5,0
0.66,1.75,0
0.66,2,1.28E-05
0.66,2.25,0.023922153
0.66,2.5,0.5525702
0.66,2.75,0.7531475
0.66,3,0.7801739
0.66,3.25,0.7926271
0.66,3.5,0.805256
0.66,3.75,0.8102787
0.66,4,0.8206846
0.66,4.25,0.823074
0.66,4.5,0.8268328
0.66,4.75,0.8277831
0.66,5,0.8319008
0.66,5.25,0.8334045
0.66,5.5,0.836611
0.66,5.75,0.8367527
0.66,6,0.8408372
0.68,1,0
0.68,1.25,0
0.68,1.5,0
0.68,1.75,0
0.68,2,0.001079282
0.68,2.25,0.4738228
0.68,2.5,0.7434298
0.68,2.75,0.7781852
0.68,3,0.797889
0.68,3.25,0.8056584
0.68,3.5,0.8128762
0.68,3.75,0.818548
0.68,4,0.8268685
0.68,4.25,0.8309718
0.68,4.5,0.8352562
0.68,4.75,0.838755
0.68,5,0.8395038
0.68,5.25,0.8444196
0.68,5.5,0.8420379
0.68,5.75,0.846161
0.68,6,0.8479512
0.7,1,0
0.7,1.25,0
0.7,1.5,0
0.7,1.75,0.000368402
0.7,2,0.27190968
0.7,2.25,0.7158907
0.7,2.5,0.7760793
0.7,2.75,0.7935191
0.7,3,0.8103977
0.7,3.25,0.8195389
0.7,3.5,0.8259262
0.7,3.75,0.8324263
0.7,4,0.8334455
0.7,4.25,0.8385622
0.7,4.5,0.8450718
0.7,4.75,0.8470133
0.7,5,0.8488065
0.7,5.25,0.8510374
0.7,5.5,0.8526139
0.7,5.75,0.8560492
0.7,6,0.8566426
0.72,1,0
0.72,1.25,1.93E-05
0.72,1.5,1.71E-05
0.72,1.75,0.022389793
0.72,2,0.67652
0.72,2.25,0.7658596
0.72,2.5,0.7939434
0.72,2.75,0.8057378
0.72,3,0.8204287
0.72,3.25,0.8296777
0.72,3.5,0.8354664
0.72,3.75,0.8396572
0.72,4,0.844384
0.72,4.25,0.8520952
0.72,4.5,0.8487584
0.72,4.75,0.8559891
0.72,5,0.8562724
0.72,5.25,0.8574232
0.72,5.5,0.8621604
0.72,5.75,0.861583
0.72,6,0.865024
0.74,1,0
0.74,1.25,0
0.74,1.5,0.010650814
0.74,1.75,0.4385308
0.74,2,0.7386486
0.74,2.25,0.7859942
0.74,2.5,0.8121739
0.74,2.75,0.82081
0.74,3,0.8330158
0.74,3.25,0.8432187
0.74,3.5,0.8473436
0.74,3.75,0.8501961
0.74,4,0.851095
0.74,4.25,0.8600871
0.74,4.5,0.8643211
0.74,4.75,0.8638445
0.74,5,0.864552
0.74,5.25,0.8677055
0.74,5.5,0.8694931
0.74,5.75,0.8726536
0.74,6,0.8700453
0.76,1,4.72E-05
0.76,1.25,5.93E-05
0.76,1.5,0.070248722
0.76,1.75,0.6786628
0.76,2,0.7784878
0.76,2.25,0.8086646
0.76,2.5,0.8244292
0.76,2.75,0.834726
0.76,3,0.8420378
0.76,3.25,0.8498759
0.76,3.5,0.8555947
0.76,3.75,0.8574628
0.76,4,0.8639879
0.76,4.25,0.8657999
0.76,4.5,0.8705795
0.76,4.75,0.8709215
0.76,5,0.8744066
0.76,5.25,0.8769206
0.76,5.5,0.8776076
0.76,5.75,0.8775777
0.76,6,0.8790563
0.78,1,0
0.78,1.25,0.00300821
0.78,1.5,0.32191013
0.78,1.75,0.7424395
0.78,2,0.7991807
0.78,2.25,0.8219676
0.78,2.5,0.8372781
0.78,2.75,0.8442521
0.78,3,0.8562875
0.78,3.25,0.8630271
0.78,3.5,0.8660303
0.78,3.75,0.8689309
0.78,4,0.8720068
0.78,4.25,0.8786883
0.78,4.5,0.8808822
0.78,4.75,0.8813528
0.78,5,0.8820746
0.78,5.25,0.8840764
0.78,5.5,0.8867182
0.78,5.75,0.8872169
0.78,6,0.888491
0.8,1,2.36E-05
0.8,1.25,0.053957482
0.8,1.5,0.6189358
0.8,1.75,0.7791428
0.8,2,0.818033
0.8,2.25,0.8335544
0.8,2.5,0.8485992
0.8,2.75,0.8547544
0.8,3,0.8658702
0.8,3.25,0.8680988
0.8,3.5,0.8780395
0.8,3.75,0.8782876
0.8,4,0.8812179
0.8,4.25,0.8823619
0.8,4.5,0.8884166
0.8,4.75,0.8903394
0.8,5,0.8927204
0.8,5.25,0.8944372
0.8,5.5,0.8947598
0.8,5.75,0.897026
0.8,6,0.8986034
0.82,1,9.42E-05
0.82,1.25,0.1813608
0.82,1.5,0.732149
0.82,1.75,0.801382
0.82,2,0.8330387
0.82,2.25,0.8497511
0.82,2.5,0.8593227
0.82,2.75,0.8672006
0.82,3,0.8754042
0.82,3.25,0.8798414
0.82,3.5,0.8832934
0.82,3.75,0.8930631
0.82,4,0.8921773
0.82,4.25,0.8935775
0.82,4.5,0.8973347
0.82,4.75,0.897823
0.82,5,0.8981573
0.82,5.25,0.9021314
0.82,5.5,0.9050755
0.82,5.75,0.9017024
0.82,6,0.9050957
0.84,1,0.004397589
0.84,1.25,0.4071284
0.84,1.5,0.7639365
0.84,1.75,0.8243338
0.84,2,0.8450088
0.84,2.25,0.8606856
0.84,2.5,0.8698314
0.84,2.75,0.8774194
0.84,3,0.8850089
0.84,3.25,0.8906953
0.84,3.5,0.8967038
0.84,3.75,0.8951483
0.84,4,0.9018456
0.84,4.25,0.9019138
0.84,4.5,0.9040226
0.84,4.75,0.9050816
0.84,5,0.9105652
0.84,5.25,0.9115593
0.84,5.5,0.9096711
0.84,5.75,0.9112115
0.84,6,0.9129462
0.86,1,0.033509712
0.86,1.25,0.5766971
0.86,1.5,0.7941021
0.86,1.75,0.8393456
0.86,2,0.8588911
0.86,2.25,0.8730879
0.86,2.5,0.8798667
0.86,2.75,0.8925096
0.86,3,0.8932481
0.86,3.25,0.8966846
0.86,3.5,0.9039499
0.86,3.75,0.9020833
0.86,4,0.9096273
0.86,4.25,0.9103696
0.86,4.5,0.9124117
0.86,4.75,0.9121717
0.86,5,0.9175803
0.86,5.25,0.9179269
0.86,5.5,0.9190391
0.86,5.75,0.9184755
0.86,6,0.9214124
0.88,1,0.14396483
0.88,1.25,0.7061353
0.88,1.5,0.8243974
0.88,1.75,0.8580532
0.88,2,0.8708195
0.88,2.25,0.8833269
0.88,2.5,0.8888017
0.88,2.75,0.8979603
0.88,3,0.906704
0.88,3.25,0.9081633
0.88,3.5,0.9110872
0.88,3.75,0.9158696
0.88,4,0.9176457
0.88,4.25,0.9189847
0.88,4.5,0.9194039
0.88,4.75,0.9219223
0.88,5,0.92344
0.88,5.25,0.9263219
0.88,5.5,0.9281207
0.88,5.75,0.9270701
0.88,6,0.9288254
0.9,1,0.2858641
0.9,1.25,0.7659524
0.9,1.5,0.8382539
0.9,1.75,0.8679445
0.9,2,0.8851435
0.9,2.25,0.8930924
0.9,2.5,0.9041307
0.9,2.75,0.907057
0.9,3,0.9110161
0.9,3.25,0.9152424
0.9,3.5,0.921311
0.9,3.75,0.9234736
0.9,4,0.9244154
0.9,4.25,0.9285383
0.9,4.5,0.9274817
0.9,4.75,0.9300162
0.9,5,0.9302523
0.9,5.25,0.9312603
0.9,5.5,0.9363708
0.9,5.75,0.9333952
0.9,6,0.9354685
0.92,1,0.4516518
0.92,1.25,0.7995435
0.92,1.5,0.8586794
0.92,1.75,0.877498
0.92,2,0.8937738
0.92,2.25,0.9016724
0.92,2.5,0.9113029
0.92,2.75,0.9152549
0.92,3,0.9207378
0.92,3.25,0.9226977
0.92,3.5,0.9288565
0.92,3.75,0.9299951
0.92,4,0.9309866
0.92,4.25,0.933076
0.92,4.5,0.9362523
0.92,4.75,0.9354315
0.92,5,0.9371613
0.92,5.25,0.9380229
0.92,5.5,0.940882
0.92,5.75,0.9381337
0.92,6,0.9405959
0.94,1,0.5906224
0.94,1.25,0.8279339
0.94,1.5,0.8749313
0.94,1.75,0.8943683
0.94,2,0.9054637
0.94,2.25,0.9143124
0.94,2.5,0.9235246
0.94,2.75,0.9258473
0.94,3,0.9294582
0.94,3.25,0.9358127
0.94,3.5,0.9347204
0.94,3.75,0.9378031
0.94,4,0.9393104
0.94,4.25,0.9419985
0.94,4.5,0.9425088
0.94,4.75,0.9436092
0.94,5,0.9462849
0.94,5.25,0.9469286
0.94,5.5,0.9469757
0.94,5.75,0.945146
0.94,6,0.9476331
0.96,1,0.6997491
0.96,1.25,0.8552094
0.96,1.5,0.8881
0.96,1.75,0.9051068
0.96,2,0.9181361
0.96,2.25,0.9225678
0.96,2.5,0.9288159
0.96,2.75,0.9335308
0.96,3,0.9345874
0.96,3.25,0.9382812
0.96,3.5,0.9423667
0.96,3.75,0.9434285
0.96,4,0.9453769
0.96,4.25,0.9493907
0.96,4.5,0.9473155
0.96,4.75,0.9505244
0.96,5,0.949551
0.96,5.25,0.9501518
0.96,5.5,0.9550762
0.96,5.75,0.9525968
0.96,6,0.9519457
0.98,1,0.7740372
0.98,1.25,0.8681346
0.98,1.5,0.8999991
0.98,1.75,0.9170846
0.98,2,0.9268366
0.98,2.25,0.9336602
0.98,2.5,0.9364761
0.98,2.75,0.9418429
0.98,3,0.9447534
0.98,3.25,0.9488684
0.98,3.5,0.9481382
0.98,3.75,0.9506563
0.98,4,0.951977
0.98,4.25,0.9516427
0.98,4.5,0.9520174
0.98,4.75,0.9554191
0.98,5,0.9580372
0.98,5.25,0.9587565
0.98,5.5,0.957367
0.98,5.75,0.9602589
0.98,6,0.9566353
1,1,0.8100589
1,1.25,0.8910942
1,1.5,0.9127563
1,1.75,0.9250801
1,2,0.9305679
1,2.25,0.9393871
1,2.5,0.94525
1,2.75,0.946369
1,3,0.94677
1,3.25,0.951925
1,3.5,0.9521853
1,3.75,0.9575691
1,4,0.9586001
1,4.25,0.9614769
1,4.5,0.9594281
1,4.75,0.960354
1,5,0.9610445
1,5.25,0.9641516
1,5.5,0.9614816
1,5.75,0.9638713
1,6,0.9628799
