Fitness,Relative Center Density,RCT - Invasion
0.6,1,0
0.6,1.25,0
0.6,1.5,0
0.6,1.75,0
0.6,2,0
0.6,2.25,0
0.6,2.5,0
0.6,2.75,0
0.6,3,0
0.6,3.25,0
0.6,3.5,0
0.6,3.75,0
0.6,4,0
0.6,4.25,0
0.6,4.5,0
0.6,4.75,0
0.6,5,0
0.6,5.25,0
0.6,5.5,0
0.6,5.75,0
0.6,6,0
0.62,1,0
0.62,1.25,0
0.62,1.5,0
0.62,1.75,0
0.62,2,0
0.62,2.25,0
0.62,2.5,0
0.62,2.75,0
0.62,3,0
0.62,3.25,0
0.62,3.5,0
0.62,3.75,0
0.62,4,0
0.62,4.25,0
0.62,4.5,0
0.62,4.75,0
0.62,5,0
0.62,5.25,0
0.62,5.5,0
0.62,5.75,0
0.62,6,0
0.64,1,0
0.64,1.25,0
0.64,1.5,0
0.64,1.75,0
0.64,2,0
0.64,2.25,0
0.64,2.5,0
0.64,2.75,0
0.64,3,0
0.64,3.25,0
0.64,3.5,0
0.64,3.75,0
0.64,4,0
0.64,4.25,0
0.64,4.5,0
0.64,4.75,0
0.64,5,0
0.64,5.25,0
0.64,5.5,0
0.64,5.75,0
0.64,6,0
0.66,1,0
0.66,1.25,0
0.66,1.5,0
0.66,1.75,0
0.66,2,0
0.66,2.25,0
0.66,2.5,0
0.66,2.75,0
0.66,3,0
0.66,3.25,0
0.66,3.5,0
0.66,3.75,0
0.66,4,0
0.66,4.25,0
0.66,4.5,0
0.66,4.75,0
0.66,5,0
0.66,5.25,0
0.66,5.5,0
0.66,5.75,0
0.66,6,0
0.68,1,0
0.68,1.25,0
0.68,1.5,0
0.68,1.75,0
0.68,2,0
0.68,2.25,0
0.68,2.5,0
0.68,2.75,0
0.68,3,0
0.68,3.25,0
0.68,3.5,0
0.68,3.75,0
0.68,4,0
0.68,4.25,0
0.68,4.5,0
0.68,4.75,0
0.68,5,0
0.68,5.25,0
0.68,5.5,0
0.68,5.75,0
0.68,6,0
0.7,1,0
0.7,1.25,0
0.7,1.5,0
0.7,1.75,0
0.7,2,0
0.7,2.25,0
0.7,2.5,0
0.7,2.75,0
0.7,3,0
0.7,3.25,0
0.7,3.5,0
0.7,3.75,0
0.7,4,0
0.7,4.25,0
0.7,4.5,0
0.7,4.75,0
0.7,5,0
0.7,5.25,0
0.7,5.5,0
0.7,5.75,0
0.7,6,0
0.72,1,0
0.72,1.25,0
0.72,1.5,0
0.72,1.75,0
0.72,2,0
0.72,2.25,0
0.72,2.5,0
0.72,2.75,0
0.72,3,0
0.72,3.25,0
0.72,3.5,0
0.72,3.75,0
0.72,4,0
0.72,4.25,0
0.72,4.5,0
0.72,4.75,0
0.72,5,0
0.72,5.25,0
0.72,5.5,0
0.72,5.75,0
0.72,6,0
0.74,1,0
0.74,1.25,0
0.74,1.5,0
0.74,1.75,0
0.74,2,0
0.74,2.25,0
0.74,2.5,0
0.74,2.75,0
0.74,3,0
0.74,3.25,0
0.74,3.5,0
0.74,3.75,0
0.74,4,0
0.74,4.25,0
0.74,4.5,0
0.74,4.75,0
0.74,5,0
0.74,5.25,0
0.74,5.5,5.13E-06
0.74,5.75,0.002163032
0.74,6,4.53E-05
0.76,1,0
0.76,1.25,0
0.76,1.5,0
0.76,1.75,0
0.76,2,0
0.76,2.25,0
0.76,2.5,0
0.76,2.75,0
0.76,3,0
0.76,3.25,0
0.76,3.5,0
0.76,3.75,0
0.76,4,0
0.76,4.25,0
0.76,4.5,5.20E-06
0.76,4.75,2.09E-05
0.76,5,0.005574659
0.76,5.25,0.01173717
0.76,5.5,0.089998797
0.76,5.75,0.15559857
0.76,6,0.17292847
0.78,1,0
0.78,1.25,0
0.78,1.5,0
0.78,1.75,0
0.78,2,0
0.78,2.25,0
0.78,2.5,0
0.78,2.75,0
0.78,3,0
0.78,3.25,0
0.78,3.5,0
0.78,3.75,0
0.78,4,5.34E-06
0.78,4.25,0.003380933
0.78,4.5,0.01526206
0.78,4.75,0.09428691
0.78,5,0.13636254
0.78,5.25,0.2364097
0.78,5.5,0.2416377
0.78,5.75,0.2625994
0.78,6,0.281214
0.8,1,0
0.8,1.25,0
0.8,1.5,0
0.8,1.75,0
0.8,2,0
0.8,2.25,0
0.8,2.5,0
0.8,2.75,0
0.8,3,0
0.8,3.25,0
0.8,3.5,1.08E-05
0.8,3.75,0.005605962
0.8,4,0.010128134
0.8,4.25,0.067044168
0.8,4.5,0.16192465
0.8,4.75,0.2274186
0.8,5,0.2583747
0.8,5.25,0.270403
0.8,5.5,0.2808674
0.8,5.75,0.2926803
0.8,6,0.304719
0.82,1,0
0.82,1.25,0
0.82,1.5,0
0.82,1.75,0
0.82,2,0
0.82,2.25,0
0.82,2.5,0
0.82,2.75,1.11E-05
0.82,3,1.10E-05
0.82,3.25,0.000135569
0.82,3.5,0.023868807
0.82,3.75,0.13055043
0.82,4,0.1968596
0.82,4.25,0.22293
0.82,4.5,0.2411327
0.82,4.75,0.2609589
0.82,5,0.2806502
0.82,5.25,0.2932356
0.82,5.5,0.3026089
0.82,5.75,0.3159407
0.82,6,0.3281501
0.84,1,0
0.84,1.25,0
0.84,1.5,0
0.84,1.75,0
0.84,2,0
0.84,2.25,0
0.84,2.5,0
0.84,2.75,5.44E-06
0.84,3,0.001633229
0.84,3.25,0.052645557
0.84,3.5,0.1486057
0.84,3.75,0.1942099
0.84,4,0.230474
0.84,4.25,0.2497597
0.84,4.5,0.2725524
0.84,4.75,0.2855043
0.84,5,0.3014602
0.84,5.25,0.3119456
0.84,5.5,0.3238054
0.84,5.75,0.3372761
0.84,6,0.3506813
0.86,1,0
0.86,1.25,0
0.86,1.5,0
0.86,1.75,0
0.86,2,0
0.86,2.25,0
0.86,2.5,0.000177908
0.86,2.75,0.008023915
0.86,3,0.05577187
0.86,3.25,0.15277995
0.86,3.5,0.2160478
0.86,3.75,0.2406988
0.86,4,0.2580133
0.86,4.25,0.2757121
0.86,4.5,0.2934677
0.86,4.75,0.3081574
0.86,5,0.3227133
0.86,5.25,0.3396679
0.86,5.5,0.3531782
0.86,5.75,0.3608898
0.86,6,0.3786202
0.88,1,0
0.88,1.25,0
0.88,1.5,0
0.88,1.75,0
0.88,2,0
0.88,2.25,0.000310896
0.88,2.5,0.004989841
0.88,2.75,0.04714374
0.88,3,0.166388
0.88,3.25,0.2118362
0.88,3.5,0.2417023
0.88,3.75,0.2642677
0.88,4,0.285217
0.88,4.25,0.3001553
0.88,4.5,0.3186274
0.88,4.75,0.3282235
0.88,5,0.3484977
0.88,5.25,0.3634303
0.88,5.5,0.374033
0.88,5.75,0.3844316
0.88,6,0.4044118
0.9,1,0
0.9,1.25,0
0.9,1.5,0
0.9,1.75,0
0.9,2,6.75E-05
0.9,2.25,0.005500535
0.9,2.5,0.07762202
0.9,2.75,0.1675089
0.9,3,0.2141246
0.9,3.25,0.2441527
0.9,3.5,0.2627794
0.9,3.75,0.286259
0.9,4,0.3106848
0.9,4.25,0.3264143
0.9,4.5,0.3436567
0.9,4.75,0.3551895
0.9,5,0.3735758
0.9,5.25,0.3944428
0.9,5.5,0.4069277
0.9,5.75,0.4136489
0.9,6,0.4323024
0.92,1,0
0.92,1.25,0
0.92,1.5,0
0.92,1.75,2.83E-05
0.92,2,0.00054937
0.92,2.25,0.05795379
0.92,2.5,0.1604359
0.92,2.75,0.2066226
0.92,3,0.2403647
0.92,3.25,0.2683214
0.92,3.5,0.2860112
0.92,3.75,0.3179689
0.92,4,0.3319882
0.92,4.25,0.3584527
0.92,4.5,0.3678239
0.92,4.75,0.3848804
0.92,5,0.4027998
0.92,5.25,0.4195466
0.92,5.5,0.4327858
0.92,5.75,0.4424685
0.92,6,0.4620349
0.94,1,0
0.94,1.25,0
0.94,1.5,5.71E-06
0.94,1.75,6.76E-05
0.94,2,0.010209166
0.94,2.25,0.11580828
0.94,2.5,0.1928517
0.94,2.75,0.2359575
0.94,3,0.2682543
0.94,3.25,0.2895243
0.94,3.5,0.3156689
0.94,3.75,0.3382464
0.94,4,0.3558281
0.94,4.25,0.3813098
0.94,4.5,0.4027111
0.94,4.75,0.4136705
0.94,5,0.4415274
0.94,5.25,0.4566739
0.94,5.5,0.4684398
0.94,5.75,0.4828299
0.94,6,0.4967323
0.96,1,0
0.96,1.25,5.73E-06
0.96,1.5,2.85E-05
0.96,1.75,0.001698022
0.96,2,0.06707006
0.96,2.25,0.1720841
0.96,2.5,0.2257204
0.96,2.75,0.2663803
0.96,3,0.2996518
0.96,3.25,0.3291037
0.96,3.5,0.3434117
0.96,3.75,0.3706053
0.96,4,0.3933161
0.96,4.25,0.4162899
0.96,4.5,0.442231
0.96,4.75,0.4506752
0.96,5,0.4826776
0.96,5.25,0.4935471
0.96,5.5,0.5069831
0.96,5.75,0.5255698
0.96,6,0.5513962
0.98,1,0
0.98,1.25,1.14E-05
0.98,1.5,0.00019901
0.98,1.75,0.010734307
0.98,2,0.12750679
0.98,2.25,0.2076389
0.98,2.5,0.2530949
0.98,2.75,0.2965316
0.98,3,0.3285203
0.98,3.25,0.3569588
0.98,3.5,0.3798914
0.98,3.75,0.4023827
0.98,4,0.4346943
0.98,4.25,0.4494393
0.98,4.5,0.4738785
0.98,4.75,0.5069244
0.98,5,0.5254793
0.98,5.25,0.5449646
0.98,5.5,0.5544028
0.98,5.75,0.5770033
0.98,6,0.5965331
1,1,0
1,1.25,0
1,1.5,0.000693703
1,1.75,0.07635993
1,2,0.1777556
1,2.25,0.2402963
1,2.5,0.2902473
1,2.75,0.3268929
1,3,0.3597587
1,3.25,0.3885292
1,3.5,0.4183861
1,3.75,0.4502563
1,4,0.4699989
1,4.25,0.4964743
1,4.5,0.5121763
1,4.75,0.5432306
1,5,0.5764641
1,5.25,0.5898554
1,5.5,0.6165544
1,5.75,0.6315453
1,6,0.648472
