Migration Rate,Relative Center Density,RCT - Persistance
0.02,1,0.650199
0.02,1.25,0.8162971
0.02,1.5,0.9484394
0.02,1.75,0.9829507
0.02,2,0.9894214
0.02,2.25,0.9926254
0.02,2.5,0.9951825
0.02,2.75,0.9965587
0.02,3,0.9965374
0.02,3.25,0.9973859
0.02,3.5,0.9977332
0.02,3.75,0.9978352
0.02,4,0.998249
0.02,4.25,0.9986092
0.02,4.5,0.9990155
0.02,4.75,0.9986524
0.02,5,0.9989009
0.02,5.25,0.9990583
0.02,5.5,0.999028
0.02,5.75,0.9990043
0.02,6,0.9993957
0.025,1,0.4950881
0.025,1.25,0.7619472
0.025,1.5,0.9150787
0.025,1.75,0.9738096
0.025,2,0.9869614
0.025,2.25,0.9902765
0.025,2.5,0.9928485
0.025,2.75,0.9940068
0.025,3,0.9956816
0.025,3.25,0.9967369
0.025,3.5,0.9970942
0.025,3.75,0.9975282
0.025,4,0.9978826
0.025,4.25,0.9978342
0.025,4.5,0.9982987
0.025,4.75,0.9981843
0.025,5,0.9983789
0.025,5.25,0.998721
0.025,5.5,0.9986426
0.025,5.75,0.9987642
0.025,6,0.9990064
0.03,1,0.3278317
0.03,1.25,0.5953294
0.03,1.5,0.9113891
0.03,1.75,0.9697423
0.03,2,0.9828831
0.03,2.25,0.9866846
0.03,2.5,0.9903853
0.03,2.75,0.9932147
0.03,3,0.9943111
0.03,3.25,0.9952604
0.03,3.5,0.9959591
0.03,3.75,0.9965031
0.03,4,0.9968626
0.03,4.25,0.9972443
0.03,4.5,0.9973828
0.03,4.75,0.9980325
0.03,5,0.9982124
0.03,5.25,0.9981044
0.03,5.5,0.9984332
0.03,5.75,0.9985768
0.03,6,0.9987717
0.035,1,0.10303042
0.035,1.25,0.363592
0.035,1.5,0.8243903
0.035,1.75,0.9523666
0.035,2,0.9764248
0.035,2.25,0.9850375
0.035,2.5,0.9874695
0.035,2.75,0.9903228
0.035,3,0.9923635
0.035,3.25,0.994223
0.035,3.5,0.9948227
0.035,3.75,0.9957717
0.035,4,0.9956824
0.035,4.25,0.9967298
0.035,4.5,0.9970667
0.035,4.75,0.9972196
0.035,5,0.9975889
0.035,5.25,0.998003
0.035,5.5,0.9978148
0.035,5.75,0.9982291
0.035,6,0.9983843
0.04,1,0.005110318
0.04,1.25,0.140640531
0.04,1.5,0.6412692
0.04,1.75,0.9284629
0.04,2,0.968402
0.04,2.25,0.9798457
0.04,2.5,0.9856864
0.04,2.75,0.9886356
0.04,3,0.9909303
0.04,3.25,0.9925947
0.04,3.5,0.993719
0.04,3.75,0.9941608
0.04,4,0.9950429
0.04,4.25,0.9954515
0.04,4.5,0.9964501
0.04,4.75,0.9968295
0.04,5,0.9969709
0.04,5.25,0.9970029
0.04,5.5,0.9971291
0.04,5.75,0.9980146
0.04,6,0.9981061
0.045,1,4.70E-05
0.045,1.25,0.00556025
0.045,1.5,0.3402567
0.045,1.75,0.8884404
0.045,2,0.9591429
0.045,2.25,0.9728253
0.045,2.5,0.9803797
0.045,2.75,0.9854917
0.045,3,0.9890087
0.045,3.25,0.990558
0.045,3.5,0.9929948
0.045,3.75,0.9935998
0.045,4,0.9948893
0.045,4.25,0.9956134
0.045,4.5,0.9960019
0.045,4.75,0.9964975
0.045,5,0.9967609
0.045,5.25,0.9971979
0.045,5.5,0.9976668
0.045,5.75,0.9978515
0.045,6,0.9977769
0.05,1,0
0.05,1.25,7.84E-05
0.05,1.5,0.057006291
0.05,1.75,0.7319583
0.05,2,0.9431372
0.05,2.25,0.9675967
0.05,2.5,0.9787183
0.05,2.75,0.9838353
0.05,3,0.9878867
0.05,3.25,0.9893202
0.05,3.5,0.991472
0.05,3.75,0.9929699
0.05,4,0.9946459
0.05,4.25,0.9951356
0.05,4.5,0.9959468
0.05,4.75,0.9965632
0.05,5,0.9969383
0.05,5.25,0.9977232
0.05,5.5,0.9979489
0.05,5.75,0.9980533
0.05,6,0.9984285
0.055,1,0
0.055,1.25,0
0.055,1.5,0.000281684
0.055,1.75,0.22282952
0.055,2,0.9060977
0.055,2.25,0.9596997
0.055,2.5,0.973723
0.055,2.75,0.9826625
0.055,3,0.9869956
0.055,3.25,0.989293
0.055,3.5,0.9919556
0.055,3.75,0.9936588
0.055,4,0.9951095
0.055,4.25,0.996223
0.055,4.5,0.9967377
0.055,4.75,0.9972771
0.055,5,0.9975215
0.055,5.25,0.9984995
0.055,5.5,0.998388
0.055,5.75,0.9987269
0.055,6,0.9988574
0.06,1,0
0.06,1.25,0
0.06,1.5,0
0.06,1.75,0.006915677
0.06,2,0.8169556
0.06,2.25,0.9471742
0.06,2.5,0.9712116
0.06,2.75,0.9815627
0.06,3,0.9862958
0.06,3.25,0.9905908
0.06,3.5,0.9925406
0.06,3.75,0.9947745
0.06,4,0.9955651
0.06,4.25,0.9973365
0.06,4.5,0.9976465
0.06,4.75,0.9982294
0.06,5,0.9984507
0.06,5.25,0.9987299
0.06,5.5,0.9987933
0.06,5.75,0.9992575
0.06,6,0.9994791
0.065,1,0
0.065,1.25,0
0.065,1.5,0
0.065,1.75,0.000105507
0.065,2,0.268957299
0.065,2.25,0.9274029
0.065,2.5,0.9666641
0.065,2.75,0.9811662
0.065,3,0.9874446
0.065,3.25,0.99189
0.065,3.5,0.9943341
0.065,3.75,0.9960035
0.065,4,0.9973451
0.065,4.25,0.9978547
0.065,4.5,0.9984607
0.065,4.75,0.9990273
0.065,5,0.9991674
0.065,5.25,0.9993574
0.065,5.5,0.9994351
0.065,5.75,0.9996
0.065,6,0.9997647
0.07,1,0
0.07,1.25,0
0.07,1.5,0
0.07,1.75,3.01E-05
0.07,2,0.004280651
0.07,2.25,0.7813807
0.07,2.5,0.9595721
0.07,2.75,0.9801581
0.07,3,0.9887322
0.07,3.25,0.9939861
0.07,3.5,0.9965126
0.07,3.75,0.9977677
0.07,4,0.9985934
0.07,4.25,0.9990943
0.07,4.5,0.9994366
0.07,4.75,0.9995735
0.07,5,0.9997276
0.07,5.25,0.9997947
0.07,5.5,0.9998504
0.07,5.75,0.9998609
0.07,6,0.9999455
0.075,1,0
0.075,1.25,0
0.075,1.5,0
0.075,1.75,0
0.075,2,0.000109177
0.075,2.25,0.034732343
0.075,2.5,0.9434828
0.075,2.75,0.9798744
0.075,3,0.9918013
0.075,3.25,0.9956404
0.075,3.5,0.9978077
0.075,3.75,0.9989244
0.075,4,0.9993031
0.075,4.25,0.9996412
0.075,4.5,0.9998228
0.075,4.75,0.9998382
0.075,5,0.9999344
0.075,5.25,0.9999377
0.075,5.5,0.9999621
0.075,5.75,0.9999792
0.075,6,0.999955
0.08,1,0
0.08,1.25,0
0.08,1.5,0
0.08,1.75,0
0.08,2,1.35E-05
0.08,2.25,0.000982614
0.08,2.5,0.9034967
0.08,2.75,0.9773702
0.08,3,0.9934033
0.08,3.25,0.9973237
0.08,3.5,0.998902
0.08,3.75,0.9994314
0.08,4,0.9997194
0.08,4.25,0.9998742
0.08,4.5,0.9999533
0.08,4.75,0.9999373
0.08,5,0.9999821
0.08,5.25,0.9999942
0.08,5.5,1
0.08,5.75,0.9999946
0.08,6,0.9999949
0.085,1,0
0.085,1.25,0
0.085,1.5,0
0.085,1.75,0
0.085,2,0
0.085,2.25,3.69E-05
0.085,2.5,0.439354162
0.085,2.75,0.9731805
0.085,3,0.9951312
0.085,3.25,0.9986902
0.085,3.5,0.9994448
0.085,3.75,0.9998338
0.085,4,0.9999329
0.085,4.25,0.9999506
0.085,4.5,0.9999866
0.085,4.75,0.9999681
0.085,5,0.9999939
0.085,5.25,1
0.085,5.5,0.9999944
0.085,5.75,1
0.085,6,0.9999948
0.09,1,0
0.09,1.25,0
0.09,1.5,0
0.09,1.75,0
0.09,2,0
0.09,2.25,0
0.09,2.5,0.006295665
0.09,2.75,0.9343367
0.09,3,0.9964306
0.09,3.25,0.9993284
0.09,3.5,0.9998631
0.09,3.75,0.999968
0.09,4,0.9999848
0.09,4.25,0.9999782
0.09,4.5,0.9999933
0.09,4.75,1
0.09,5,1
0.09,5.25,1
0.09,5.5,0.9999888
0.09,5.75,1
0.09,6,1
0.095,1,0
0.095,1.25,0
0.095,1.5,0
0.095,1.75,0
0.095,2,0
0.095,2.25,0
0.095,2.5,9.26E-05
0.095,2.75,0.71012
0.095,3,0.9978081
0.095,3.25,0.9994845
0.095,3.5,0.9999063
0.095,3.75,0.9999757
0.095,4,0.9999925
0.095,4.25,1
0.095,4.5,0.9999932
0.095,4.75,1
0.095,5,1
0.095,5.25,1
0.095,5.5,1
0.095,5.75,1
0.095,6,1
0.1,1,0
0.1,1.25,0
0.1,1.5,0
0.1,1.75,0
0.1,2,0
0.1,2.25,0
0.1,2.5,1.14E-05
0.1,2.75,0.194904259
0.1,3,0.9942057
0.1,3.25,0.9997965
0.1,3.5,0.9999569
0.1,3.75,0.9999916
0.1,4,1
0.1,4.25,1
0.1,4.5,1
0.1,4.75,1
0.1,5,1
0.1,5.25,1
0.1,5.5,1
0.1,5.75,1
0.1,6,1
