Migration Rate,Relative Center Density,Normal Allele - Invasion
0.02,1,0.0688257
0.02,1.25,0.08747491
0.02,1.5,0.10120498
0.02,1.75,0.111244
0.02,2,0.1176576
0.02,2.25,0.1316085
0.02,2.5,0.1476323
0.02,2.75,0.1477583
0.02,3,0.1573484
0.02,3.25,0.1591874
0.02,3.5,0.1693393
0.02,3.75,0.1775495
0.02,4,0.182769
0.02,4.25,0.1825606
0.02,4.5,0.1871093
0.02,4.75,0.1976843
0.02,5,0.1948713
0.02,5.25,0.2052013
0.02,5.5,0.2026383
0.02,5.75,0.2078285
0.02,6,0.2143764
0.025,1,0.08205611
0.025,1.25,0.09989804
0.025,1.5,0.1233451
0.025,1.75,0.140643
0.025,2,0.1527232
0.025,2.25,0.1738975
0.025,2.5,0.177902
0.025,2.75,0.1977797
0.025,3,0.1995193
0.025,3.25,0.2069057
0.025,3.5,0.2162411
0.025,3.75,0.2170316
0.025,4,0.2286744
0.025,4.25,0.2427563
0.025,4.5,0.2393884
0.025,4.75,0.2450463
0.025,5,0.2557732
0.025,5.25,0.2577467
0.025,5.5,0.2696949
0.025,5.75,0.2683807
0.025,6,0.2740653
0.03,1,0.09865636
0.03,1.25,0.1215817
0.03,1.5,0.1419517
0.03,1.75,0.1663786
0.03,2,0.1930335
0.03,2.25,0.2022048
0.03,2.5,0.2186712
0.03,2.75,0.2356753
0.03,3,0.2369111
0.03,3.25,0.2545114
0.03,3.5,0.2663746
0.03,3.75,0.274088
0.03,4,0.2831303
0.03,4.25,0.2888972
0.03,4.5,0.2915246
0.03,4.75,0.3063985
0.03,5,0.3160828
0.03,5.25,0.3183194
0.03,5.5,0.3244989
0.03,5.75,0.3302515
0.03,6,0.3310034
0.035,1,0.10710004
0.035,1.25,0.1316899
0.035,1.5,0.1701773
0.035,1.75,0.1944535
0.035,2,0.2109088
0.035,2.25,0.2323398
0.035,2.5,0.2508202
0.035,2.75,0.2646542
0.035,3,0.2864616
0.035,3.25,0.3007673
0.035,3.5,0.3107201
0.035,3.75,0.3191917
0.035,4,0.3277837
0.035,4.25,0.3368455
0.035,4.5,0.3488026
0.035,4.75,0.3528347
0.035,5,0.360597
0.035,5.25,0.3667089
0.035,5.5,0.3838001
0.035,5.75,0.3814893
0.035,6,0.3924705
0.04,1,0.1248644
0.04,1.25,0.1571054
0.04,1.5,0.1818797
0.04,1.75,0.2184299
0.04,2,0.2403483
0.04,2.25,0.2735518
0.04,2.5,0.2844671
0.04,2.75,0.3044492
0.04,3,0.3270128
0.04,3.25,0.3349604
0.04,3.5,0.3424922
0.04,3.75,0.3657788
0.04,4,0.3798024
0.04,4.25,0.3924028
0.04,4.5,0.3896888
0.04,4.75,0.406606
0.04,5,0.4120435
0.04,5.25,0.428313
0.04,5.5,0.4342637
0.04,5.75,0.4386443
0.04,6,0.449789
0.045,1,0.125925
0.045,1.25,0.1667622
0.045,1.5,0.2036176
0.045,1.75,0.2405576
0.045,2,0.2543805
0.045,2.25,0.2879512
0.045,2.5,0.3162455
0.045,2.75,0.3323807
0.045,3,0.3551506
0.045,3.25,0.3688123
0.045,3.5,0.3892264
0.045,3.75,0.4147922
0.045,4,0.405976
0.045,4.25,0.4212596
0.045,4.5,0.4405911
0.045,4.75,0.4472141
0.045,5,0.4589276
0.045,5.25,0.4796412
0.045,5.5,0.4761524
0.045,5.75,0.4923335
0.045,6,0.4896957
0.05,1,0.1364506
0.05,1.25,0.1715939
0.05,1.5,0.2155355
0.05,1.75,0.249748
0.05,2,0.2809763
0.05,2.25,0.3068784
0.05,2.5,0.3324866
0.05,2.75,0.3632217
0.05,3,0.3786664
0.05,3.25,0.4076274
0.05,3.5,0.4135429
0.05,3.75,0.443342
0.05,4,0.4530311
0.05,4.25,0.4669634
0.05,4.5,0.4780317
0.05,4.75,0.4871318
0.05,5,0.5017261
0.05,5.25,0.5085808
0.05,5.5,0.522633
0.05,5.75,0.522396
0.05,6,0.5392585
0.055,1,0.1367106
0.055,1.25,0.187804
0.055,1.5,0.2275967
0.055,1.75,0.2592803
0.055,2,0.2994633
0.055,2.25,0.3290346
0.055,2.5,0.3582219
0.055,2.75,0.3919455
0.055,3,0.4013383
0.055,3.25,0.4300257
0.055,3.5,0.4460775
0.055,3.75,0.4652589
0.055,4,0.4806028
0.055,4.25,0.4951124
0.055,4.5,0.5088156
0.055,4.75,0.5158098
0.055,5,0.5230488
0.055,5.25,0.5505794
0.055,5.5,0.5560447
0.055,5.75,0.5688837
0.055,6,0.5694174
0.06,1,0.1526395
0.06,1.25,0.1861006
0.06,1.5,0.2256349
0.06,1.75,0.2709496
0.06,2,0.3202789
0.06,2.25,0.3509502
0.06,2.5,0.3724184
0.06,2.75,0.4073675
0.06,3,0.43907
0.06,3.25,0.4524434
0.06,3.5,0.4776116
0.06,3.75,0.4913901
0.06,4,0.4994635
0.06,4.25,0.5190174
0.06,4.5,0.5312202
0.06,4.75,0.5540545
0.06,5,0.5580996
0.06,5.25,0.5773763
0.06,5.5,0.5839099
0.06,5.75,0.5859392
0.06,6,0.6040721
0.065,1,0.1411051
0.065,1.25,0.1889916
0.065,1.5,0.234715
0.065,1.75,0.2839983
0.065,2,0.3148891
0.065,2.25,0.3669186
0.065,2.5,0.3927727
0.065,2.75,0.4201719
0.065,3,0.446336
0.065,3.25,0.4720665
0.065,3.5,0.4951058
0.065,3.75,0.5125388
0.065,4,0.5317349
0.065,4.25,0.5411581
0.065,4.5,0.5576964
0.065,4.75,0.5716304
0.065,5,0.5825163
0.065,5.25,0.5868568
0.065,5.5,0.5965172
0.065,5.75,0.6079926
0.065,6,0.6248377
0.07,1,0.1422497
0.07,1.25,0.2084466
0.07,1.5,0.2487765
0.07,1.75,0.2974761
0.07,2,0.3362973
0.07,2.25,0.3697044
0.07,2.5,0.3994207
0.07,2.75,0.4383745
0.07,3,0.4622447
0.07,3.25,0.4831228
0.07,3.5,0.5072004
0.07,3.75,0.5242563
0.07,4,0.53227
0.07,4.25,0.5603312
0.07,4.5,0.5673568
0.07,4.75,0.5864888
0.07,5,0.5946971
0.07,5.25,0.6016289
0.07,5.5,0.6217134
0.07,5.75,0.6282664
0.07,6,0.6453428
0.075,1,0.1585876
0.075,1.25,0.1996074
0.075,1.5,0.2506559
0.075,1.75,0.3009315
0.075,2,0.3351092
0.075,2.25,0.3807652
0.075,2.5,0.398505
0.075,2.75,0.4455744
0.075,3,0.4634095
0.075,3.25,0.4996973
0.075,3.5,0.5148123
0.075,3.75,0.5343565
0.075,4,0.5609443
0.075,4.25,0.5685043
0.075,4.5,0.5823727
0.075,4.75,0.6084097
0.075,5,0.6119554
0.075,5.25,0.6241917
0.075,5.5,0.6288009
0.075,5.75,0.6446205
0.075,6,0.6541631
0.08,1,0.1506101
0.08,1.25,0.2124611
0.08,1.5,0.2481557
0.08,1.75,0.3034398
0.08,2,0.3399196
0.08,2.25,0.3833318
0.08,2.5,0.4213972
0.08,2.75,0.4379591
0.08,3,0.478447
0.08,3.25,0.5041422
0.08,3.5,0.5268871
0.08,3.75,0.5387947
0.08,4,0.5723599
0.08,4.25,0.5811391
0.08,4.5,0.6079493
0.08,4.75,0.5993685
0.08,5,0.6153772
0.08,5.25,0.6402231
0.08,5.5,0.6501868
0.08,5.75,0.652818
0.08,6,0.6601684
0.085,1,0.1571919
0.085,1.25,0.2080959
0.085,1.5,0.2524402
0.085,1.75,0.2962412
0.085,2,0.341638
0.085,2.25,0.3799862
0.085,2.5,0.4151375
0.085,2.75,0.4508591
0.085,3,0.4850564
0.085,3.25,0.5130582
0.085,3.5,0.5306147
0.085,3.75,0.5481534
0.085,4,0.5589681
0.085,4.25,0.5898151
0.085,4.5,0.5957629
0.085,4.75,0.6143165
0.085,5,0.6296491
0.085,5.25,0.6295401
0.085,5.5,0.6540673
0.085,5.75,0.6670225
0.085,6,0.6726064
0.09,1,0.1562989
0.09,1.25,0.2093737
0.09,1.5,0.2537274
0.09,1.75,0.3027678
0.09,2,0.3474339
0.09,2.25,0.3904456
0.09,2.5,0.426902
0.09,2.75,0.4575967
0.09,3,0.4785444
0.09,3.25,0.5097915
0.09,3.5,0.5328441
0.09,3.75,0.5429482
0.09,4,0.5689584
0.09,4.25,0.5913783
0.09,4.5,0.600494
0.09,4.75,0.6188526
0.09,5,0.6248058
0.09,5.25,0.6365191
0.09,5.5,0.6583514
0.09,5.75,0.6652535
0.09,6,0.6723427
0.095,1,0.1503094
0.095,1.25,0.20876
0.095,1.5,0.2620944
0.095,1.75,0.2921695
0.095,2,0.3566302
0.095,2.25,0.3760066
0.095,2.5,0.4222335
0.095,2.75,0.4618995
0.095,3,0.4813218
0.095,3.25,0.5139612
0.095,3.5,0.524915
0.095,3.75,0.5549352
0.095,4,0.5752003
0.095,4.25,0.5881534
0.095,4.5,0.6085847
0.095,4.75,0.6217003
0.095,5,0.6301584
0.095,5.25,0.6389808
0.095,5.5,0.6544413
0.095,5.75,0.6741802
0.095,6,0.671593
0.1,1,0.1566995
0.1,1.25,0.2106409
0.1,1.5,0.2562164
0.1,1.75,0.3037558
0.1,2,0.3388866
0.1,2.25,0.3827178
0.1,2.5,0.4234933
0.1,2.75,0.4630638
0.1,3,0.4846145
0.1,3.25,0.505374
0.1,3.5,0.5425004
0.1,3.75,0.5553468
0.1,4,0.5760426
0.1,4.25,0.5902893
0.1,4.5,0.6164368
0.1,4.75,0.6316969
0.1,5,0.6425747
0.1,5.25,0.6488856
0.1,5.5,0.6585591
0.1,5.75,0.6657534
0.1,6,0.6713999
