Migration Rate,Corridor Width,1L1T - Persistance
0.02,0.01,0.7888137
0.025,0.01,0.8517815
0.03,0.01,0.83549227
0.035,0.01,0.9903325
0.04,0.01,0.89799221
0.045,0.01,0.9933044
0.05,0.01,0.9952877
0.055,0.01,0.995888
0.06,0.01,0.9963975
0.065,0.01,0.997695
0.07,0.01,0.9967358
0.075,0.01,0.9965589
0.08,0.01,0.9973819
0.085,0.01,0.9968693
0.09,0.01,0.9974734
0.095,0.01,0.9979081
0.1,0.01,0.9977491
0.02,0.02,0.5312886
0.025,0.02,0.3501173
0.03,0.02,0.4241034
0.035,0.02,0.5310555
0.04,0.02,0.54483044
0.045,0.02,0.8978945
0.05,0.02,0.9664349
0.055,0.02,0.9863683
0.06,0.02,0.9876814
0.065,0.02,0.9884122
0.07,0.02,0.9911255
0.075,0.02,0.9917462
0.08,0.02,0.9899803
0.085,0.02,0.9915527
0.09,0.02,0.9928142
0.095,0.02,0.9924577
0.1,0.02,0.9934988
0.02,0.03,0.4110861
0.025,0.03,0.3025671
0.03,0.03,0.18155621
0.035,0.03,0.040660868
0.04,0.03,0.091870855
0.045,0.03,0.25433763
0.05,0.03,0.44453835
0.055,0.03,0.607537553
0.06,0.03,0.77688586
0.065,0.03,0.9710976
0.07,0.03,0.9767002
0.075,0.03,0.979741
0.08,0.03,0.9807272
0.085,0.03,0.9830577
0.09,0.03,0.9819546
0.095,0.03,0.9833276
0.1,0.03,0.9845845
0.02,0.04,0.4016338
0.025,0.04,0.2216267
0.03,0.04,0.08570547
0.035,0.04,0.045999649
0.04,0.04,0.000420869
0.045,0.04,0.014242014
0.05,0.04,0.000354862
0.055,0.04,0.068742
0.06,0.04,0.0704324
0.065,0.04,0.0691943
0.07,0.04,0.5836888
0.075,0.04,0.6683704
0.08,0.04,0.8702129
0.085,0.04,0.9708403
0.09,0.04,0.9716345
0.095,0.04,0.9718038
0.1,0.04,0.9724606
0.02,0.05,0.3318943
0.025,0.05,0.19078881
0.03,0.05,0.06078815
0.035,0.05,0.016700937
0.04,0.05,0
0.045,0.05,0
0.05,0.05,0
0.055,0.05,0
0.06,0.05,0
0.065,0.05,0
0.07,0.05,0
0.075,0.05,0.03760067
0.08,0.05,0.246976204
0.085,0.05,0.2956871
0.09,0.05,0.57137585
0.095,0.05,0.9480161
0.1,0.05,0.8573966
0.02,0.06,0.3407018
0.025,0.06,0.17858344
0.03,0.06,0.048443639
0.035,0.06,0.002876428
0.04,0.06,0
0.045,0.06,0
0.05,0.06,0
0.055,0.06,0
0.06,0.06,0
0.065,0.06,0
0.07,0.06,0
0.075,0.06,0
0.08,0.06,0
0.085,0.06,0
0.09,0.06,0
0.095,0.06,0
0.1,0.06,0.0390479
0.02,0.07,0.3198997
0.025,0.07,0.15898854
0.03,0.07,0.023989062
0.035,0.07,0.000137289
0.04,0.07,0
0.045,0.07,0
0.05,0.07,0
0.055,0.07,0
0.06,0.07,0
0.065,0.07,0
0.07,0.07,0
0.075,0.07,0
0.08,0.07,0
0.085,0.07,0
0.09,0.07,0
0.095,0.07,0
0.1,0.07,0
0.02,0.08,0.2700199
0.025,0.08,0.1203173
0.03,0.08,0.018827677
0.035,0.08,0
0.04,0.08,0
0.045,0.08,0
0.05,0.08,0
0.055,0.08,0
0.06,0.08,0
0.065,0.08,0
0.07,0.08,0
0.075,0.08,0
0.08,0.08,0
0.085,0.08,0
0.09,0.08,0
0.095,0.08,0
0.1,0.08,0
0.02,0.09,0.2684015
0.025,0.09,0.11191678
0.03,0.09,0.016705908
0.035,0.09,0
0.04,0.09,0
0.045,0.09,0
0.05,0.09,0
0.055,0.09,0
0.06,0.09,0
0.065,0.09,0
0.07,0.09,0
0.075,0.09,0
0.08,0.09,0
0.085,0.09,0
0.09,0.09,0
0.095,0.09,0
0.1,0.09,0
0.02,0.1,0.2726746
0.025,0.1,0.11416758
0.03,0.1,0.012499693
0.035,0.1,0
0.04,0.1,0
0.045,0.1,0
0.05,0.1,0
0.055,0.1,0
0.06,0.1,0
0.065,0.1,0
0.07,0.1,0
0.075,0.1,0
0.08,0.1,0
0.085,0.1,0
0.09,0.1,0
0.095,0.1,0
0.1,0.1,0
0.02,0.11,0.2553313
0.025,0.11,0.09938728
0.03,0.11,0.006271759
0.035,0.11,0
0.04,0.11,0
0.045,0.11,0
0.05,0.11,0
0.055,0.11,0
0.06,0.11,0
0.065,0.11,0
0.07,0.11,0
0.075,0.11,0
0.08,0.11,0
0.085,0.11,0
0.09,0.11,0
0.095,0.11,0
0.1,0.11,0
0.02,0.12,0.2565225
0.025,0.12,0.10461912
0.03,0.12,0.00664979
0.035,0.12,0
0.04,0.12,0
0.045,0.12,0
0.05,0.12,0
0.055,0.12,0
0.06,0.12,0
0.065,0.12,0
0.07,0.12,0
0.075,0.12,0
0.08,0.12,0
0.085,0.12,0
0.09,0.12,0
0.095,0.12,0
0.1,0.12,0
0.02,0.13,0.2365474
0.025,0.13,0.10004629
0.03,0.13,0.004503204
0.035,0.13,0
0.04,0.13,0
0.045,0.13,0
0.05,0.13,0
0.055,0.13,0
0.06,0.13,0
0.065,0.13,0
0.07,0.13,0
0.075,0.13,0
0.08,0.13,0
0.085,0.13,0
0.09,0.13,0
0.095,0.13,0
0.1,0.13,0
0.02,0.14,0.2436431
0.025,0.14,0.08592142
0.03,0.14,0.006958658
0.035,0.14,0
0.04,0.14,0
0.045,0.14,0
0.05,0.14,0
0.055,0.14,0
0.06,0.14,0
0.065,0.14,0
0.07,0.14,0
0.075,0.14,0
0.08,0.14,0
0.085,0.14,0
0.09,0.14,0
0.095,0.14,0
0.1,0.14,0
0.02,0.15,0.2180344
0.025,0.15,0.07604613
0.03,0.15,0.00250443
0.035,0.15,0
0.04,0.15,0
0.045,0.15,0
0.05,0.15,0
0.055,0.15,0
0.06,0.15,0
0.065,0.15,0
0.07,0.15,0
0.075,0.15,0
0.08,0.15,0
0.085,0.15,0
0.09,0.15,0
0.095,0.15,0
0.1,0.15,0
0.02,0.16,0.2222994
0.025,0.16,0.07559626
0.03,0.16,0.001593987
0.035,0.16,0
0.04,0.16,0
0.045,0.16,0
0.05,0.16,0
0.055,0.16,0
0.06,0.16,0
0.065,0.16,0
0.07,0.16,0
0.075,0.16,0
0.08,0.16,0
0.085,0.16,0
0.09,0.16,0
0.095,0.16,0
0.1,0.16,0
0.02,0.17,0.2046921
0.025,0.17,0.07097405
0.03,0.17,0.003590036
0.035,0.17,0
0.04,0.17,0
0.045,0.17,0
0.05,0.17,0
0.055,0.17,0
0.06,0.17,0
0.065,0.17,0
0.07,0.17,0
0.075,0.17,0
0.08,0.17,0
0.085,0.17,0
0.09,0.17,0
0.095,0.17,0
0.1,0.17,0
0.02,0.18,0.189045
0.025,0.18,0.07315936
0.03,0.18,0.000581519
0.035,0.18,0
0.04,0.18,0
0.045,0.18,0
0.05,0.18,0
0.055,0.18,0
0.06,0.18,0
0.065,0.18,0
0.07,0.18,0
0.075,0.18,0
0.08,0.18,0
0.085,0.18,0
0.09,0.18,0
0.095,0.18,0
0.1,0.18,0
0.02,0.19,0.1924347
0.025,0.19,0.07378624
0.03,0.19,0.002148079
0.035,0.19,0
0.04,0.19,0
0.045,0.19,0
0.05,0.19,0
0.055,0.19,0
0.06,0.19,0
0.065,0.19,0
0.07,0.19,0
0.075,0.19,0
0.08,0.19,0
0.085,0.19,0
0.09,0.19,0
0.095,0.19,0
0.1,0.19,0
0.02,0.2,0.1828464
0.025,0.2,0.06100753
0.03,0.2,0.001162181
0.035,0.2,0
0.04,0.2,0
0.045,0.2,0
0.05,0.2,0
0.055,0.2,0
0.06,0.2,0
0.065,0.2,0
0.07,0.2,0
0.075,0.2,0
0.08,0.2,0
0.085,0.2,0
0.09,0.2,0
0.095,0.2,0
0.1,0.2,0
0.02,0,1
0.025,0,1
0.03,0,1
0.035,0,1
0.04,0,1
0.045,0,1
0.05,0,1
0.055,0,1
0.06,0,1
0.065,0,1
0.07,0,1
0.075,0,1
0.08,0,1
0.085,0,1
0.09,0,1
0.095,0,1
0.1,0,1
